date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:34%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psaa2.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psaa2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:35	5068/5068	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:34%20GMT	https://control.taxi.brusseles.com/taxi/?ND	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/index9a11.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	31630/31630	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202023%2012:57:29%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAA2.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAA2-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	5067/5067	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:35%20GMT	https://control.taxi.brusseles.com/taxi/?MA	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/index2a60.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:35%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psaa22.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psaa22.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	5067/5067	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:35%20GMT	https://control.taxi.brusseles.com/taxi/?SA	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/index3dd6.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	31630/31630	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202023%2013:22:03%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAA22.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAA22-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:35%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psaas22.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psaas22.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:36	31626/31626	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202024%2022:24:43%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAAS22.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAAS22-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:36%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psaass22.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psaass22.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:37	31624/31624	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202024%2022:37:59%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAASS22.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAASS22-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:36%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psaasss22.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psaasss22.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:37	31604/31604	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202024%2016:25:19%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAASSS22.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAASSS22-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:37%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psab22.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psab22.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:38	31628/31628	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2021:47:43%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAB22.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAB22-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:37%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001mz5psbb22.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001mz5psbb22.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:38	31628/31628	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2023:02:52%20GMT	https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSBB22.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p69000001MZ5PSBB22-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:38%20GMT	https://control.taxi.brusseles.com/taxi/a1p6900000mz5psaa1.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6900000mz5psaa1.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:39	31440/31440	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2012:36:42%20GMT	https://control.taxi.brusseles.com/taxi/a1p6900000MZ5PSAA1.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6900000MZ5PSAA1-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:39	768/768	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2009%20Apr%202024%2014:01:07%20GMT	https://control.taxi.brusseles.com/_autoindex/assets/icons/file-text.svg	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/_autoindex/assets/icons/file-text.svg	(from https://control.taxi.brusseles.com/taxi/)
18:50:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:38%20GMT	https://control.taxi.brusseles.com/taxi/a1p6900000mz5psaa11.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6900000mz5psaa11.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:39	31440/31440	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2012:47:52%20GMT	https://control.taxi.brusseles.com/taxi/a1p6900000MZ5PSAA11.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6900000MZ5PSAA11-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:39%20GMT	https://control.taxi.brusseles.com/taxi/a1p6900000mz5psaa2.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6900000mz5psaa2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:40	31629/31629	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202023%2020:17:03%20GMT	https://control.taxi.brusseles.com/taxi/a1p6900000MZ5PSAA2.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6900000MZ5PSAA2-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:39%20GMT	https://control.taxi.brusseles.com/taxi/a1p6990000mz5pssaa2.html	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6990000mz5pssaa2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:40	31627/31627	---M-Z	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202024%2022:15:01%20GMT	https://control.taxi.brusseles.com/taxi/a1p6990000MZ5PSSAA2.HTML	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/a1p6990000MZ5PSSAA2-2.html	(from https://control.taxi.brusseles.com/taxi/)
18:50:41	1620/1620	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:40%20GMT	https://control.taxi.brusseles.com/driver/?NA	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/driver/indexd4cd.html	(from https://control.taxi.brusseles.com/driver/?ND)
18:50:41	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:41%20GMT	https://control.taxi.brusseles.com/driver/iris-bm.png	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/driver/iris-bm.1f.delayed	(from https://control.taxi.brusseles.com/driver/a1p69001101MZ5PSBB22.HTML)
18:50:42	1621/1621	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:41%20GMT	https://control.taxi.brusseles.com/driver/?MD	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/driver/index7dc1.html	(from https://control.taxi.brusseles.com/driver/?MA)
18:50:42	1621/1621	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:41%20GMT	https://control.taxi.brusseles.com/driver/?SD	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/driver/index38f9.html	(from https://control.taxi.brusseles.com/driver/?SA)
18:50:42	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css?ver=5.0.2	C:/Mes%20Sites%20Web/2222/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.mince52.css	(from https://control.taxi.brusseles.com/driver/a1p69001101MZ5PSBB22.HTML)
18:50:42	11084/11084	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-2b4c%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js?ver=2.8.3	C:/Mes%20Sites%20Web/2222/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.minf7ff.js	(from https://control.taxi.brusseles.com/driver/a1p69001101MZ5PSBB22.HTML)
18:50:43	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js?ver=3.4.1	C:/Mes%20Sites%20Web/2222/code.jquery.com/jquery-3.4.1.min5589.js	(from https://control.taxi.brusseles.com/driver/a1p69001101MZ5PSBB22.HTML)
18:50:44	78743/78743	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213397-kBFpUnUH/55mLPZNjjYfNZMIlw0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js?ver=5.0.2	C:/Mes%20Sites%20Web/2222/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.mince52.js	(from https://control.taxi.brusseles.com/driver/a1p69001101MZ5PSBB22.HTML)
18:50:45	5067/5067	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:42%20GMT	https://control.taxi.brusseles.com/taxi/?NA	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/indexd4cd.html	(from https://control.taxi.brusseles.com/taxi/?ND)
18:50:45	5068/5068	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:42%20GMT	https://control.taxi.brusseles.com/taxi/?MD	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/index7dc1.html	(from https://control.taxi.brusseles.com/taxi/?MA)
18:50:45	5068/5068	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Apr%202024%2016:50:43%20GMT	https://control.taxi.brusseles.com/taxi/?SD	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/index38f9.html	(from https://control.taxi.brusseles.com/taxi/?SA)
18:50:45	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Apr%202024%2016:50:44%20GMT	https://control.taxi.brusseles.com/taxi/iris-bm.png	C:/Mes%20Sites%20Web/2222/control.taxi.brusseles.com/taxi/iris-bm.24.delayed	(from https://control.taxi.brusseles.com/taxi/a1p69000001MZ5PSAA2.HTML)
